iter	Passed	Remaining
0	140	140012
1	150	75078
2	157	52298
3	164	40919
4	172	34266
5	181	30009
6	188	26791
7	196	24413
8	205	22636
9	213	21104
10	221	19941
11	229	18889
12	239	18216
13	248	17475
14	256	16827
15	263	16189
16	271	15671
17	278	15211
18	286	14777
19	293	14372
20	302	14087
21	309	13774
22	317	13493
23	324	13193
24	333	13003
25	339	12733
26	349	12610
27	357	12401
28	365	12228
29	373	12077
30	381	11935
31	388	11762
32	396	11615
33	405	11511
34	413	11390
35	422	11301
36	431	11218
37	438	11112
38	446	10993
39	454	10910
40	463	10848
41	471	10757
42	482	10730
43	490	10659
44	498	10586
45	507	10522
46	516	10465
47	523	10391
48	534	10376
49	542	10304
50	549	10231
51	557	10172
52	567	10135
53	575	10076
54	583	10025
55	591	9977
56	600	9929
57	608	9888
58	616	9837
59	624	9787
60	632	9734
61	640	9687
62	647	9633
63	655	9587
64	665	9568
65	674	9540
66	681	9496
67	693	9501
68	700	9445
69	707	9402
70	714	971	771	723	972	772	731	973	773	739	974	774	747	975	775	755	976	776	763	977	773	9142
78	781	9114
79	790	9085
80	797	9051
81	807	9041
82	817	9036
83	825	9006
84	835	8994
85	843	8964
86	853	8954
87	863	8950
88	872	8928
89	879	8895
90	888	8875
91	896	8847
92	904	8820
93	911	8788
94	920	8765
95	930	8758
96	939	8744
97	947	8718
98	956	8703
99	963	8672
100	972	8656
101	981	8643
102	989	8620
103	997	8590
104	1006	8578
105	1017	8581
106	1029	8595
107	1039	8583
108	1045	8545
109	1056	8551
110	1066	8541
111	1076	8533
112	1084	8511
113	1091	8484
114	1100	8469
115	1108	8447
116	1116	8422
117	1124	8402
118	1131	8376
119	1142	8375
120	1150	8356
121	1159	8348
122	1168	8328
123	1175	8306
124	1183	8283
125	1193	8275
126	1201	8259
127	1209	8239
128	1218	8225
129	1225	8203
130	1233	8185
131	1240	8156
132	1248	8138
133	1257	8123
134	1265	8108
135	1272	8086
136	1280	8067
137	1289	8054
138	1298	8041
139	1306	8026
140	1315	8013
141	1323	7998
142	1332	7985
143	1339	7962
144	1347	7944
145	1357	7940
146	1367	7935
147	1376	7922
148	1384	7906
149	1391	7883
150	1399	7867
151	1407	7849
152	1415	7838
153	1423	7821
154	1431	7801
155	1438	7780
156	1446	7764
157	1456	7761
158	1465	7753
159	1474	7740
160	1483	7729
161	1491	7716
162	1501	7710
163	1511	7703
164	1518	7683
165	1526	7669
166	1531	7640
167	1539	7625
168	1549	7620
169	1557	7604
170	1567	7599
171	1575	7583
172	1584	7573
173	1591	7556
174	1599	7539
175	1607	7525
176	1616	7515
177	1626	7511
178	1635	7500
179	1643	7485
180	1650	7467
181	1660	7463
182	1670	7456
183	1678	7442
184	1686	7429
185	1696	7424
186	1705	7415
187	1714	7406
188	1723	7394
189	1732	7386
190	1742	7379
191	1750	7365
192	1757	7350
193	1766	7339
194	1775	7329
195	1784	7318
196	1793	7309
197	1802	7300
198	1810	7288
199	1817	7270
200	1828	7270
201	1836	7255
202	1846	7248
203	1854	7236
204	1863	7227
205	1871	7212
206	1882	7211
207	1889	7196
208	1897	7182
209	1906	7172
210	1913	7156
211	1922	7146
212	1931	7137
213	1939	7124
214	1946	7108
215	1956	7100
216	1965	7090
217	1971	7073
218	1980	7064
219	1989	7054
220	1997	7041
221	2005	7029
222	2014	7019
223	2023	7009
224	2030	6995
225	2044	7003
226	2053	6993
227	2061	6978
228	2069	6968
229	2078	6957
230	2087	6950
231	2095	6937
232	2105	6930
233	2114	6921
234	2122	6910
235	2130	6898
236	2138	6884
237	2145	6868
238	2153	6856
239	2160	6842
240	2169	6832
241	2176	6818
242	2185	6809
243	2196	6804
244	2204	6792
245	2212	6782
246	2221	6771
247	2233	6772
248	2242	6763
249	2252	6757
250	2261	6749
251	2271	6743
252	2281	6734
253	2289	6725
254	2299	6716
255	2307	6706
256	2316	6696
257	2324	6686
258	2334	6679
259	2342	6667
260	2352	6659
261	2359	6647
262	2367	6635
263	2375	6623
264	2385	6615
265	2394	6608
266	2404	6601
267	2412	6589
268	2421	6579
269	2428	6566
270	2437	6557
271	2447	6551
272	2456	6541
273	2465	6533
274	2473	6522
275	2482	6511
276	2491	6502
277	2502	6498
278	2511	6489
279	2519	6477
280	2530	6473
281	2539	6464
282	2548	6456
283	2557	6446
284	2565	6437
285	2574	6426
286	2582	6414
287	2590	6403
288	2601	6399
289	2609	6388
290	2618	6379
291	2629	6375
292	2637	6364
293	2647	6357
294	2656	6348
295	2664	6337
296	2673	6327
297	2680	6314
298	2690	6308
299	2701	6304
300	2711	6295
301	2720	6287
302	2729	6278
303	2739	6271
304	2749	6264
305	2759	6259
306	2772	6258
307	2783	6253
308	2791	6242
309	2802	6238
310	2813	6233
311	2822	6223
312	2832	6216
313	2844	6213
314	2855	6210
315	2865	6203
316	2877	6198
317	2886	6190
318	2898	6187
319	2906	6175
320	2915	6167
321	2928	6165
322	2937	6157
323	2950	6155
324	2960	6148
325	2971	6143
326	2981	6136
327	2991	6129
328	3006	6131
329	3017	6126
330	3033	6131
331	3044	6126
332	3053	6116
333	3066	6114
334	3076	6107
335	3085	6096
336	3096	6092
337	3107	6085
338	3117	6078
339	3126	6069
340	3138	6064
341	3150	6062
342	3164	6060
343	3175	6054
344	3185	6048
345	3194	6037
346	3203	6027
347	3211	6017
348	3222	6011
349	3234	6006
350	3245	6000
351	3252	5988
352	3264	5983
353	3273	5973
354	3282	5963
355	3292	5956
356	3302	5948
357	3311	5938
358	3321	5931
359	3332	5924
360	3342	5916
361	3354	5911
362	3366	5907
363	3376	5898
364	3388	5895
365	3399	5889
366	3408	5879
367	3420	5873
368	3431	5867
369	3442	5860
370	3453	5854
371	3463	5847
372	3476	5843
373	3486	5835
374	3495	5825
375	3504	5815
376	3514	5807
377	3526	5802
378	3536	5794
379	3544	5783
380	3553	5773
381	3562	5763
382	3574	5758
383	3584	5750
384	3593	5740
385	3602	5730
386	3611	5720
387	3621	5712
388	3630	5701
389	3639	5692
390	3650	5685
391	3661	5679
392	3672	5672
393	3681	5662
394	3692	5655
395	3705	5651
396	3713	5640
397	3725	5634
398	3733	5623
399	3746	5619
400	3756	5610
401	3767	5604
402	3777	5596
403	3788	5589
404	3799	5581
405	3810	5574
406	3819	5565
407	3829	5557
408	3840	5549
409	3849	5540
410	3859	5531
411	3873	5527
412	3885	5523
413	3897	5516
414	3908	5509
415	3917	5500
416	3928	5492
417	3942	5489
418	3953	5481
419	3963	5473
420	3973	5464
421	3980	5451
422	3992	5445
423	4001	5436
424	4014	5431
425	4025	5423
426	4035	5415
427	4044	5405
428	4056	5398
429	4066	5390
430	4077	5382
431	4090	5378
432	4100	5368
433	4107	5356
434	4118	5349
435	4130	5342
436	4139	5333
437	4151	5327
438	4162	5319
439	4174	5312
440	4185	5305
441	4194	5294
442	4203	5285
443	4212	5275
444	4222	5266
445	4235	5261
446	4245	5251
447	4253	5241
448	4263	5232
449	4274	5224
450	4287	5218
451	4299	5212
452	4309	5203
453	4323	5199
454	4334	5191
455	4344	5182
456	4354	5173
457	4364	5165
458	4376	5158
459	4387	5150
460	4401	5145
461	4410	5136
462	4420	5126
463	4431	5119
464	4440	5108
465	4450	5099
466	4459	5089
467	4471	5083
468	4482	5075
469	4495	5069
470	4505	5060
471	4516	5052
472	4525	5042
473	4533	5030
474	4541	5020
475	4549	5008
476	4559	4998
477	4568	4988
478	4577	4978
479	4584	4966
480	4591	4954
481	4599	4943
482	4607	4932
483	4616	4921
484	4624	4911
485	4633	4900
486	4642	4890
487	4650	4879
488	4661	4871
489	4669	4860
490	4679	4850
491	4686	4839
492	4699	4832
493	4707	4821
494	4715	4811
495	4724	4800
496	4732	4789
497	4740	4778
498	4748	4767
499	4758	4758
500	4767	4748
501	4775	4737
502	4784	4727
503	4793	4717
504	4801	4706
505	4811	4697
506	4820	4687
507	4828	4676
508	4838	4667
509	4846	4656
510	4854	4645
511	4863	4635
512	4872	4625
513	4880	4614
514	4888	4603
515	4896	4593
516	4907	4584
517	4915	4573
518	4927	4566
519	4939	4559
520	4949	4550
521	4960	4541
522	4969	4532
523	4978	4522
524	4991	4516
525	4999	4505
526	5012	4499
527	5022	4489
528	5030	4479
529	5043	4472
530	5055	4464
531	5064	4455
532	5079	4450
533	5089	4441
534	5097	4430
535	5110	4423
536	5119	4414
537	5131	4406
538	5141	4397
539	5151	4388
540	5160	4378
541	5168	4367
542	5178	4358
543	5187	4348
544	5197	4339
545	5206	4329
546	5217	4320
547	5224	4309
548	5232	4298
549	5239	4286
550	5247	4275
551	5256	4266
552	5264	4255
553	5273	4245
554	5280	4234
555	5288	4223
556	5297	4213
557	5304	4202
558	5314	4192
559	5322	4182
560	5330	4171
561	5338	4160
562	5346	4149
563	5353	4138
564	5361	4128
565	5369	4117
566	5376	4106
567	5384	4095
568	5392	4084
569	5400	4074
570	5407	4062
571	5414	4051
572	5422	4040
573	5430	4029
574	5436	4018
575	5444	4007
576	5451	3996
577	5458	3985
578	5466	3974
579	5474	3964
580	5481	3953
581	5489	3942
582	5500	3934
583	5508	3924
584	5516	3913
585	5526	3904
586	5536	3895
587	5546	3886
588	5555	3876
589	5564	3867
590	5573	3857
591	5581	3846
592	5589	3836
593	5598	3826
594	5608	3817
595	5615	3806
596	5624	3796
597	5637	3789
598	5647	3780
599	5657	3771
600	5666	3761
601	5674	3751
602	5683	3741
603	5692	3732
604	5700	3721
605	5712	3713
606	5719	3703
607	5731	3695
608	5740	3685
609	5749	3676
610	5758	3666
611	5766	3656
612	5776	3646
613	5785	3637
614	5796	3628
615	5805	3619
616	5813	3608
617	5823	3599
618	5833	3590
619	5847	3583
620	5857	3574
621	5866	3564
622	5875	3555
623	5883	3545
624	5894	3536
625	5902	3526
626	5911	3516
627	5919	3506
628	5927	3496
629	5939	3488
630	5948	3478
631	5958	3469
632	5969	3461
633	5978	3451
634	5993	3444
635	6003	3436
636	6012	3426
637	6022	3417
638	6031	3407
639	6042	3398
640	6051	3389
641	6059	3379
642	6068	3369
643	6076	3358
644	6085	3349
645	6094	3339
646	6105	3331
647	6113	3321
648	6122	3311
649	6132	3302
650	6140	3292
651	6149	3282
652	6158	3272
653	6168	3263
654	6176	3253
655	6184	3243
656	6192	3232
657	6202	3223
658	6212	3214
659	6220	3204
660	6229	3194
661	6239	3185
662	6249	3176
663	6257	3166
664	6266	3156
665	6275	3146
666	6284	3137
667	6291	3127
668	6301	3117
669	6310	3108
670	6319	3098
671	6326	3087
672	6336	3078
673	6345	3069
674	6353	3059
675	6361	3048
676	6369	3038
677	6378	3029
678	6388	3020
679	6396	3010
680	6405	3000
681	6416	2991
682	6425	2982
683	6435	2973
684	6444	2963
685	6455	2954
686	6464	2945
687	6474	2936
688	6483	2926
689	6492	2916
690	6504	2908
691	6513	2898
692	6522	2889
693	6532	2880
694	6540	2870
695	6549	2860
696	6558	2851
697	6566	2841
698	6574	2831
699	6583	2821
700	6593	2812
701	6602	2802
702	6613	2793
703	6623	2784
704	6633	2775
705	6645	2767
706	6654	2757
707	6664	2748
708	6672	2738
709	6680	2728
710	6690	2719
711	6702	2710
712	6710	2701
713	6719	2691
714	6727	2681
715	6737	2672
716	6747	2663
717	6756	2653
718	6768	2645
719	6778	2636
720	6789	2627
721	6804	2619
722	6813	2610
723	6827	2602
724	6839	2594
725	6852	2586
726	6863	2577
727	6873	2567
728	6883	2558
729	6897	2551
730	6905	2541
731	6912	2530
732	6922	2521
733	6931	2511
734	6940	2502
735	6951	2493
736	6960	2483
737	6971	2474
738	6981	2465
739	6991	2456
740	7001	2447
741	7009	2437
742	7017	2427
743	7024	2417
744	7033	2407
745	7040	2397
746	7051	2388
747	7059	2378
748	7069	2369
749	7082	2360
750	7095	2352
751	7106	2343
752	7118	2334
753	7126	2324
754	7137	2316
755	7149	2307
756	7161	2298
757	7171	2289
758	7182	2280
759	7194	2271
760	7207	2263
761	7217	2254
762	7227	2245
763	7238	2235
764	7249	2226
765	7257	2217
766	7266	2207
767	7275	2197
768	7287	2189
769	7299	2180
770	7307	2170
771	7317	2161
772	7327	2151
773	7336	2142
774	7346	2132
775	7358	2124
776	7368	2114
777	7377	2105
778	7386	2095
779	7394	2085
780	7404	2076
781	7414	2066
782	7423	2057
783	7430	2047
784	7440	2037
785	7450	2028
786	7460	2019
787	7470	2009
788	7479	2000
789	7488	1990
790	7498	1981
791	7510	1972
792	7520	1963
793	7527	1953
794	7538	1943
795	7547	1934
796	7556	1924
797	7566	1915
798	7575	1905
799	7585	1896
800	7594	1886
801	7603	1877
802	7613	1867
803	7624	1858
804	7636	1849
805	7643	1839
806	7653	1830
807	7662	1820
808	7671	1811
809	7679	1801
810	7689	1791
811	7698	1782
812	7707	1772
813	7718	1763
814	7728	1754
815	7736	1744
816	7745	1734
817	7755	1725
818	7764	1715
819	7772	1706
820	7781	1696
821	7790	1686
822	7798	1677
823	7806	1667
824	7815	1657
825	7825	1648
826	7835	1639
827	7842	1629
828	7850	1619
829	7861	1610
830	7871	1600
831	7879	1591
832	7888	1581
833	7896	1571
834	7905	1562
835	7916	1552
836	7924	1543
837	7933	1533
838	7942	1524
839	7952	1514
840	7961	1505
841	7969	1495
842	7978	1485
843	7988	1476
844	7997	1467
845	8006	1457
846	8014	1447
847	8022	1437
848	8030	1428
849	8038	1418
850	8047	1408
851	8055	1399
852	8064	1389
853	8072	1380
854	8081	1370
855	8091	1361
856	8099	1351
857	8106	1341
858	8116	1332
859	8124	1322
860	8132	1312
861	8141	1303
862	8149	1293
863	8157	1284
864	8165	1274
865	8175	1264
866	8182	1255
867	8190	1245
868	8198	1235
869	8207	1226
870	8214	1216
871	8222	1206
872	8231	1197
873	8239	1187
874	8249	1178
875	8259	1169
876	8266	1159
877	8275	1149
878	8283	1140
879	8292	1130
880	8300	1121
881	8308	1111
882	8315	1101
883	8323	1092
884	8332	1082
885	8342	1073
886	8350	1063
887	8359	1054
888	8367	1044
889	8375	1035
890	8383	1025
891	8393	1016
892	8403	1006
893	8412	997
894	8420	987
895	8428	978
896	8437	968
897	8444	959
898	8452	949
899	8460	940
900	8468	930
901	8476	920
902	8484	911
903	8493	901
904	8502	892
905	8510	882
906	8517	873
907	8524	863
908	8531	854
909	8539	844
910	8546	834
911	8555	825
912	8564	816
913	8572	806
914	8579	796
915	8587	787
916	8593	777
917	8601	768
918	8608	758
919	8614	749
920	8621	739
921	8629	730
922	8637	720
923	8644	711
924	8652	701
925	8660	692
926	8668	682
927	8677	673
928	8684	663
929	8692	654
930	8704	645
931	8716	635
932	8726	626
933	8736	617
934	8745	607
935	8758	598
936	8768	589
937	8779	580
938	8790	571
939	8800	561
940	8809	552
941	8818	542
942	8828	533
943	8836	524
944	8844	514
945	8855	505
946	8865	496
947	8875	486
948	8885	477
949	8894	468
950	8902	458
951	8909	449
952	8916	439
953	8924	430
954	8935	421
955	8943	411
956	8950	402
957	8957	392
958	8965	383
959	8972	373
960	8979	364
961	8985	354
962	8991	345
963	8997	336
964	9004	326
965	9010	317
966	9018	307
967	9024	298
968	9029	288
969	9036	279
970	9043	270
971	9048	260
972	9054	251
973	9059	241
974	9064	232
975	9069	223
976	9074	213
977	9079	204
978	9083	194
979	9088	185
980	9093	176
981	9098	166
982	9102	157
983	9107	148
984	9112	138
985	9117	129
986	9122	120
987	9128	110
988	9133	101
989	9138	92
990	9143	83
991	9148	73
992	9153	64
993	9158	55
994	9163	46
995	9167	36
996	9172	27
997	9178	18
998	9183	9
999	9188	0
